subject,intensity,seed,detected,recognized,score
Nestor Kirchner,0.2,3,1,1,0.6567284464836121
Nestor Kirchner,0.3,3,1,1,0.6390584707260132
Nestor Kirchner,0.4,3,1,1,0.6180893778800964
Nestor Kirchner,0.5,3,1,1,0.5608944892883301
Nestor Kirchner,0.6,3,1,0,0.28932374715805054
Nestor Kirchner,0.7,3,0,0,nan
Nestor Kirchner,0.8,3,0,0,nan
Nestor Kirchner,0.9,3,0,0,nan
Nestor Kirchner,1.0,3,0,0,nan
Nestor Kirchner,0.0,4,1,1,0.7142036557197571
Nestor Kirchner,0.1,4,1,1,0.7148566842079163
Nestor Kirchner,0.2,4,1,1,0.7185918092727661
Nestor Kirchner,0.3,4,1,1,0.6822440028190613
Nestor Kirchner,0.4,4,1,1,0.641273558139801
Nestor Kirchner,0.5,4,1,1,0.5353721380233765
Nestor Kirchner,0.6,4,0,0,nan
Nestor Kirchner,0.7,4,0,0,nan
Nestor Kirchner,0.8,4,0,0,nan
Nestor Kirchner,0.9,4,0,0,nan
Nestor Kirchner,1.0,4,0,0,nan
Nestor Kirchner,0.0,5,1,1,0.6234849095344543
Nestor Kirchner,0.1,5,1,1,0.6227169632911682
Nestor Kirchner,0.2,5,1,1,0.5991441607475281
Nestor Kirchner,0.3,5,1,1,0.5625898241996765
Nestor Kirchner,0.4,5,1,1,0.5315045118331909
Nestor Kirchner,0.5,5,1,1,0.4030391573905945
